2283953673;3654700995519627;Thu Dec 12 15:08:02 +0800 2013;CA1623@非常准  我在:http://t.cn/8kiZQ14;45.76659;126.652435;黑龙江省哈尔滨市南岗区东大直街175
3925817033;3654687838892693;Thu Dec 12 14:15:44 +0800 2013;二十六、求释疑5，《意见》第二条说:1978年召开了全厂职工大会，宣读了1972年的文件，为XXX同志恢复了政治名誉。理工大学的领导是不是看穿越剧看多了，时间段都没弄清楚就胡说一气，有没有事实依据，拿出来让我们看一下，为什么拿不出来？难道又是杜撰的。54 我在:http://t.cn/8kcU1Ou;45.752304;126.65868;黑龙江省哈尔滨市南岗区
2808322017;3654687637179230;Thu Dec 12 14:14:54 +0800 2013;鱼仔含金精华素，含有纯金，给肌肤充分营养和水分，使肌肤保湿润滑，此外它还含有水溶性胶质和老公根，防止水分损失，还给容易粗糙的肌肤充分水分~ 我在:http://t.cn/8kihn5E;45.744005;126.64403;黑龙江省哈尔滨市南岗区
2808322017;3654687289218816;Thu Dec 12 14:13:33 +0800 2013;含有蜗牛粘液精华素，给皮肤保湿，使皮肤更加有弹性和光泽~ 我在:http://t.cn/8kihn5E;45.744005;126.64403;黑龙江省哈尔滨市南岗区
1871498594;3654687389647425;Thu Dec 12 14:13:56 +0800 2013;收到橙子了，真的很好。感谢@绿滋肴特产超市 我在:http://t.cn/8kf9eYV;45.755102;126.654735;黑龙江省哈尔滨市南岗区
1912594187;3654687003686418;Thu Dec 12 14:12:25 +0800 2013;当一个人不愿意再和你开玩笑了，那就真的不能再开了[挖鼻屎] 我在:http://t.cn/8kcLBUd;45.774962;126.659435;黑龙江省哈尔滨市南岗区极乐四道街11
3833914084;3654686710240846;Thu Dec 12 14:11:13 +0800 2013;#土豪刮刮卡#小手一抖，土豪金就要到手！我正在玩手机淘宝刮刮卡，快来试试你的手气。 http://t.cn/8kihj1Q 我在:http://t.cn/8kihj3c;45.752731;126.637802;黑龙江省哈尔滨市南岗区
3159408572;3654686609548873;Thu Dec 12 14:10:49 +0800 2013;1212摇身变土豪不是梦 http://t.cn/8kihlXM 我在:http://t.cn/8kihl6c;45.752647;126.647623;黑龙江省哈尔滨市南岗区木介街16号
3883404462;3654685921288953;Thu Dec 12 14:08:07 +0800 2013;【双11上手机淘宝不只是5折】用手机快人一步抢先下单，更有1000W免单等你来抢！ http://t.cn/8kihadr 我在:http://t.cn/zHexUf0;45.763248;126.658195;黑龙江省哈尔滨市南岗区
1325350490;3654685812567463;Thu Dec 12 14:07:41 +0800 2013;刚刚用传说中的#抢机神器小米商城#预约了红米手机开放购买，@红米手机 便宜、好用才是王道，这个价位还能有如此的性能，确实 #我爱红米手机# ！http://t.cn/Si8qJv 我在:http://t.cn/8kihX7o;45.767723;126.627563;黑龙江省哈尔滨市道里区
3925817033;3654685544479189;Thu Dec 12 14:06:37 +0800 2013;二十五、求释疑4，《意见》中第一条说:XXX同志的问题属于一般性问题，不在落实政策范围之内。在不在落实政策范围之内，上级已经有明确说法，现在是要落实上级党委的文件，难道理工大学要推翻上级党委的决定，对上级党委产生了质疑，理工大学的说法让人无法理解。 我在:http://t.cn/8kcU1Ou;45.752304;126.65868;黑龙江省哈尔滨市南岗区
1997797513;3654684957379196;Thu Dec 12 14:04:17 +0800 2013;没事老看我微博干JB啥，和你有关系吗？闲的没事干了啊，看我过的好，你难受啊 我在:http://t.cn/8kihqyL;45.769283;126.667885;黑龙江省哈尔滨市南岗区
2823194861;3654684646257797;Thu Dec 12 14:03:03 +0800 2013;我愿听见这个世界所有善良的心跳。[呵呵] 我在这里:http://t.cn/z8AqQmJ;45.747047424;126.63342285;黑龙江省哈尔滨市南岗区
3626592893;3654684822802245;Thu Dec 12 14:03:45 +0800 2013;我想有个人在12月24号平安夜的时候会给我送一个大大红红的苹果；我想有个人在12月25号陪我一起过圣诞节；我想有个人在12月31号晚上和我一起肩并肩等待2014的到来，我想有个人在1月31陪我过除夕之夜；我想有个人在2月14号陪我一起携手情人节[雪人][雪][雪人] 我在:http://t.cn/8kihbXJ;45.766494;126.663431;黑龙江省哈尔滨市南岗区交电街5
2912835115;3654684403056718;Thu Dec 12 14:02:04 +0800 2013;1212摇身变土豪不是梦 http://t.cn/8kihA1S 我在:http://t.cn/8kihA3N;45.760753;126.643157;黑龙江省哈尔滨市南岗区建设街101号
1578594235;3654684554075206;Thu Dec 12 14:02:41 +0800 2013;看完1Q84第一部，想看第二部第二部啊。。。 我在:http://t.cn/8kihLg0;45.747615;126.631118;黑龙江省哈尔滨市南岗区松花江街139
2696308787;3654683916867453;Thu Dec 12 14:00:08 +0800 2013;你们献血怎么那么轻松？我发誓一辈子都不带献的 我在:http://t.cn/8kIF5id;45.756825;126.63879;黑龙江省哈尔滨市南岗区
2134350671;3654684022069885;Thu Dec 12 14:00:33 +0800 2013;有种疼你不懂，我也是可以用微笑去掩盖，用冷漠包装。这种疼你不懂，因为我们殊途末路，你放纵在你的世界，我固守在我的心里。有些人陪你走很远，但那是表面交集，心灵从未有过碰撞，有一种疼你不懂，那是腰突犯了！ 我在:http://t.cn/8kihhQM;45.751089;126.657413;黑龙江省哈尔滨市南岗区
1757942697;3654683685605541;Thu Dec 12 13:59:14 +0800 2013;求大神指点，选啥课好呢？ 我在:http://t.cn/8kiPFIv;45.75768;126.667984;黑龙江省哈尔滨市南岗区宣化街217
1770030421;3654683610480400;Thu Dec 12 13:58:56 +0800 2013;我们在这里[兔子][兔子]@我的咖啡店  我在:http://t.cn/8kiPkMz;45.745674;126.657982;黑龙江省哈尔滨市南岗区
2905327295;3654683145256138;Thu Dec 12 13:57:03 +0800 2013;哎有病的身体真难耐 我在:http://t.cn/8kiPB7J;45.758684;126.655538;黑龙江省哈尔滨市南岗区永和街11-1号
2067424087;3654682730273184;Thu Dec 12 13:55:24 +0800 2013;要笑着…… 我在:http://t.cn/8kiPEjL;45.75343;126.628266;黑龙江省哈尔滨市南岗区满洲里街与货栈街交汇处
3174693064;3654682456897557;Thu Dec 12 13:54:21 +0800 2013;东西比漫咖啡好次😳以后别漫了、都来zei里吧😒@我的咖啡店 我在:http://t.cn/8kiPQcT;45.745082;126.657676;黑龙江省哈尔滨市南岗区
1825043771;3654681702183728;Thu Dec 12 13:51:19 +0800 2013;真的很美呦 我在:http://t.cn/8kiPo4z;45.76791;126.650558;黑龙江省哈尔滨市南岗区
1862784387;3654681655534809;Thu Dec 12 13:51:10 +0800 2013;韩国正品羽绒服，呢子面料，超厚手感，专柜2980元，1折抢购羽绒服，300一件，全部现货，尺码M.—XL 我在:http://t.cn/8kiPCbN;45.750162;126.648699;黑龙江省哈尔滨市南岗区联部街47
1825043771;3654681421433615;Thu Dec 12 13:50:14 +0800 2013;不多说。自留款 我在:http://t.cn/8kiPo4z;45.76791;126.650558;黑龙江省哈尔滨市南岗区
2091993037;3654681160946346;Thu Dec 12 13:49:12 +0800 2013;@龙江美食 求推荐！10人左右。包房环境好些的！南岗附近！ 我在:http://t.cn/8kiP6Oh;45.756066;126.625117;黑龙江省哈尔滨市道里区
1780138952;3654681178071942;Thu Dec 12 13:49:15 +0800 2013;cz6272@非常准  我在:http://t.cn/8kiP6nj;45.750069;126.632172;黑龙江省哈尔滨市南岗区
1931154487;3654680800187504;Thu Dec 12 13:47:47 +0800 2013;@有人说我的微博名太猥琐 我只是想爆实习照[害羞][害羞] 我在:http://t.cn/8kiPMhR;45.768421;126.648674;黑龙江省哈尔滨市南岗区
1650970155;3654680485898011;Thu Dec 12 13:46:30 +0800 2013;每周四我们五个小朋友总是要出去吃香的喝辣的〜哎呦喂。。远在一系的小伙伴@高小贱_in_HMU 你怎么办看[书呆子][书呆子][书呆子] 我在:http://t.cn/8kiPcAi;45.757191;126.631226;黑龙江省哈尔滨市南岗区松花江街35
1875540127;3654680414259533;Thu Dec 12 13:46:14 +0800 2013;晚上鱼香肉丝哦！哈哈[哈哈] 我在这里:http://t.cn/zRqT7WB;45.74488;126.66093;黑龙江省哈尔滨市南岗区中山路157号
1804895673;3654679869491592;Thu Dec 12 13:44:04 +0800 2013;得病不要得下胃管的病啊😥。痛苦万分::>_<::  我在:http://t.cn/8kiPypv;45.772301;126.632057;黑龙江省哈尔滨市道里区石头道街18号
2314584274;3654678527392477;Thu Dec 12 13:38:44 +0800 2013;困[晕] 我在:http://t.cn/8kivrRk;45.74929;126.660949;黑龙江省哈尔滨市南岗区
2269872525;3654678020056713;Thu Dec 12 13:36:43 +0800 2013;『哈该书2章11節』 万军之耶和华如此说：你要向祭司问律法， 我在这里:http://t.cn/z8I13zi;45.74876;126.643463;黑龙江省哈尔滨市南岗区
3259584862;3654677524742625;Thu Dec 12 13:34:45 +0800 2013;又是一年1212，我们的纪念日！值得纪念，老公给我买花了，开心的无以言表。真的从心里往外开心！谢谢你亲爱的老公，还有老公今天来接我，看见他的那一刻真的太激动了[嘻嘻][嘻嘻][泪][泪] 我在:http://t.cn/8kivY6v;45.760963;126.640205;黑龙江省哈尔滨市南岗区
1772160022;3654677109227337;Thu Dec 12 13:33:06 +0800 2013;自己讨厌得人，怎么瞅她都恶心 我在这里:http://t.cn/z8Ady9O;45.7555379719;126.643470585;黑龙江省哈尔滨市南岗区红军街38号
1668491395;3654676392630372;Thu Dec 12 13:30:15 +0800 2013;看人家的小帽子怎么样@vita皓皓 我像十七八吗 我在:http://t.cn/8kiv6c0;45.755794;126.648834;黑龙江省哈尔滨市南岗区国民街10
2489036570;3654675120896029;Thu Dec 12 13:25:12 +0800 2013;Resentful woman，Envy people than people 我在:http://t.cn/8kivLA2;45.762936;126.635162;黑龙江省哈尔滨市南岗区
3131325897;3654674156543647;Thu Dec 12 13:21:22 +0800 2013;双十二，看到一套好心水的汉服。已经差点手残付款了。我旁边的妹子及时把我劝说回来了。再好好考虑，好好考虑。给自己一个赞。 我在:http://t.cn/z8OVSx6;45.75;126.661963;黑龙江省哈尔滨市南岗区果戈里大街73号
1599430304;3654673938404096;Thu Dec 12 13:20:30 +0800 2013;#1212万万没想到# 早上一起床，我在抽免单，上班挤公交，奋发抽免单，开会被忽略，我去抽免单，加班陪老 http://t.cn/8kJDWyO 我在:http://t.cn/8kJsBxH;45.764012;126.636439;黑龙江省哈尔滨市南岗区
2430357203;3654673195646077;Thu Dec 12 13:17:33 +0800 2013;有些男人爱你，是想跟你过一辈子。有些男人爱你，只想和你过一阵子。过一辈子的男人爱你不会很用力，因为他要把力气放在生活上。过一阵子的男人必会爱你爱的死去活来，因为他只需要爱过你、睡过你和抛弃过你就可以。所以好男人照顾你的生活，坏男人照顾你的感情。 我在这里:http://t.cn/z8AqQmJ;45.747047;126.633423;黑龙江省哈尔滨市南岗区
1961576635;3654673154363989;Thu Dec 12 13:17:22 +0800 2013;身体累，休息休息就好了。可是心累要怎么办？ 我在这里:http://t.cn/8kJsHAF;45.76043;126.63839;黑龙江省哈尔滨市南岗区
2707924903;3654672860557484;Thu Dec 12 13:16:13 +0800 2013;【葡萄是滋阴养肝的好食物】葡萄有“水晶明珠”之称，不但味美可口，还有很好的保健功效。多吃葡萄，不但能够享受口腹之欲，还能够滋阴养肝，让自己拥有一个好气色。尤其是对那些气血不足或肝火大的女性来说，吃些葡萄不仅仅美味，还有补血养肝的作用！ 我在:http://t.cn/8kqB8QS;45.756477;126.62407;黑龙江省哈尔滨市道里区
3149853477;3654672860962730;Thu Dec 12 13:16:12 +0800 2013;哎呀，吃面包[抓狂] 我在:http://t.cn/8kJslGA;45.759271;126.640941;黑龙江省哈尔滨市南岗区
1451314662;3654672659198828;Thu Dec 12 13:15:24 +0800 2013;我在小资太太港式茶餐厅#吃饭#。见识到哈尔滨的寒冷了 http://t.cn/8kJs0KL;45.7589740641;126.645590946;黑龙江省哈尔滨市南岗区
2052316034;3654672206728389;Thu Dec 12 13:13:37 +0800 2013;起的早 身体好 下午还有两个 加油阿 问题是她们觉得行 我觉得不行 屈才了有没有 中午蹭个饭把 下午在蹭个家回 [哈哈]省车费了 就是好折腾我好累[委屈] 我在:http://t.cn/8kJsoSp;45.772339;126.660126;黑龙江省哈尔滨市南岗区
3912211602;3654671148978106;Thu Dec 12 13:09:26 +0800 2013;疯了，疯了！ 我在:http://t.cn/8kJs5cm;45.748023;126.646903;黑龙江省哈尔滨市南岗区
1247186882;3654670620391997;Thu Dec 12 13:07:20 +0800 2013;@jos-陶大葱 @佟_素颜 我在这里:http://t.cn/z8LW9dC;45.7604985933;126.646680788;黑龙江省哈尔滨市南岗区
2324812295;3654670381919411;Thu Dec 12 13:06:20 +0800 2013;       一个单位能把一个人的坏脾气给诱发出来.让我觉得自己那么斤斤计较、那么不理不睬.也好奇为什么各种极品全凑到这儿了'''现在有种无力吐槽，虚脱了的节奏'。待姐长发及腰，辞去工作可好？ 我在:http://t.cn/8kJswcG;45.771217;126.648743;黑龙江省哈尔滨市道外区清真寺街24号
3914006800;3654670478049133;Thu Dec 12 13:06:45 +0800 2013;【双11上手机淘宝不只是5折】用手机快人一步抢先下单，更有1000W免单等你来抢！ http://t.cn/8kJsA0r 我在:http://t.cn/8kJFDRR;45.772821;126.660147;黑龙江省哈尔滨市南岗区
2270063520;3654670520372191;Thu Dec 12 13:06:55 +0800 2013;反正能跟我玩在一起的有两种人,一种是能忍受我发神经病的人,一种是和我一样神经病的人。 我在这里:http://t.cn/z8A55RT;45.768089;126.648392;黑龙江省哈尔滨市南岗区
1923482545;3654670142448378;Thu Dec 12 13:05:26 +0800 2013;1212摇身变土豪不是梦 http://t.cn/8kJs7Lw 我在:http://t.cn/8kfIYjm;45.761422;126.648161;黑龙江省哈尔滨市南岗区
2535682467;3654669827779747;Thu Dec 12 13:04:10 +0800 2013;我需要开心一下，立刻，马上[给力] 我在:http://t.cn/8kJFFgl;45.745602;126.635742;黑龙江省哈尔滨市南岗区
3914006800;3654669668365182;Thu Dec 12 13:03:32 +0800 2013;#1212扫码分钱#用淘宝手机客户端来扫码可以分到钱，能不能分到500万今晚见分晓！别看了，赶紧用淘宝客户端来扫吧。 http://t.cn/8kJFDEX 我在:http://t.cn/8kJFDRR;45.772821;126.660147;黑龙江省哈尔滨市南岗区
1952213122;3654669198511391;Thu Dec 12 13:01:40 +0800 2013;成了！感谢列祖列宗啊！给你们跪了，小辈一定努力为祖宗们延续香火啊。 我在:http://t.cn/8kJF1WP;45.756008;126.66851;黑龙江省哈尔滨市南岗区宣化街217
2105468697;3654669220299656;Thu Dec 12 13:01:44 +0800 2013;分享图片 我在:http://t.cn/8kJF1d7;45.746994;126.631797;黑龙江省哈尔滨市南岗区松花江街139
2516695742;3654668984559964;Thu Dec 12 13:00:49 +0800 2013;等待，耐心等待.......办个业务真费劲。 我在:http://t.cn/8kJFmnP;45.759136;126.66861;黑龙江省哈尔滨市南岗区宣化街与平准街交汇处
1840188402;3654668863415971;Thu Dec 12 13:00:20 +0800 2013;人呀    就怕假装对你好   那么大岁数你要点脸行不？ 我在这里:http://t.cn/z82kOd9;45.7686068174;126.657470463;黑龙江省哈尔滨市南岗区
1983849327;3654668779771222;Thu Dec 12 12:59:58 +0800 2013;#1212扫码分钱#用淘宝手机客户端来扫码可以分到钱，能不能分到500万今晚见分晓！别看了，赶紧用淘宝客户端来扫吧。 http://t.cn/8kJFR3h 我在:http://t.cn/8kJFRup;45.747829;126.65303;黑龙江省哈尔滨市南岗区营部街18
1572638173;3654668419252765;Thu Dec 12 12:58:32 +0800 2013;[爱你][爱你][爱你]今天的午餐很丰盛！也很有情调！挺开心的！很放松！忘了工作！真好！谢谢mr赵，周姐还有蕾蕾和小魏！ 我在:http://t.cn/8kJFYjt;45.766859;126.637965;黑龙江省哈尔滨市道外区八区二巷16
2381108447;3654668426942234;Thu Dec 12 12:58:36 +0800 2013;我心疼你，疼到忽略自己；我相信你，信到怀疑自己。——安忆 我在:http://t.cn/8kJFY35;45.759109;126.634727;黑龙江省哈尔滨市南岗区春申街28号
3050752623;3654667802295333;Thu Dec 12 12:56:06 +0800 2013;有时太天真是一种傻，一种错 我在:http://t.cn/8kJFCnD;45.752608;126.632435;黑龙江省哈尔滨市南岗区邮政街370号
3605070120;3654667759864659;Thu Dec 12 12:55:56 +0800 2013;北京我来了，， 我在#北京西单图书大厦# http://t.cn/zQPrybP;45.76127;126.65218;黑龙江省哈尔滨市南岗区
